fdate,target_current_pair,predict_time,prediction,confidence_0,confidence_1,is_positive,model_version,fdate_hive_part,confidence,direction,year_week
20250307,USDCNH,2025-03-07 19:00:00,0.522028,0.224537037,0.9749465812,1,v2,p_20250307,0.9749465812,BULLISH,2025_10
20250307,USDCNH,2025-03-07 20:00:00,0.5706048,0.263497151,0.4872150997,1,v2,p_20250307,0.4872150997,BULLISH,2025_10
20250307,USDCNH,2025-03-07 21:00:00,0.4934293,0.7295049858,0.0437321937,0,v2,p_20250307,0.7295049858,BEARISH,2025_10
20250307,USDCNH,2025-03-07 22:00:00,0.45569488,0.5452279202,0.2121794872,0,v2,p_20250307,0.5452279202,BEARISH,2025_10
20250307,USDCNH,2025-03-07 23:00:00,0.5310641,0.5137464387,0.3900641026,1,v2,p_20250307,0.3900641026,BULLISH,2025_10
20250308,USDCNH,2025-03-08 00:00:00,0.603114,0.2157941595,0.5759259259,1,v2,p_20250308,0.5759259259,BULLISH,2025_10
20250310,USDCNH,2025-03-10 10:00:00,0.6633789,0.3364850427,0.4006766382,1,v2,p_20250310,0.4006766382,BULLISH,2025_10
20250310,USDCNH,2025-03-10 11:00:00,0.45741904,0.4413639601,0.1426103989,0,v2,p_20250310,0.4413639601,BEARISH,2025_10
20250310,USDCNH,2025-03-10 12:00:00,0.49111906,0.698468661,0.0,0,v2,p_20250310,0.698468661,BEARISH,2025_10
20250310,USDCNH,2025-03-10 13:00:00,0.4001118,0.7791488604,0.0364494302,0,v2,p_20250310,0.7791488604,BEARISH,2025_10
20250310,USDCNH,2025-03-10 14:00:00,0.59326565,0.1454059829,0.7371794872,1,v2,p_20250310,0.7371794872,BULLISH,2025_10
20250310,USDCNH,2025-03-10 15:00:00,0.5663326,0.7998219373,0.340491453,1,v2,p_20250310,0.340491453,BULLISH,2025_10
20250310,USDCNH,2025-03-10 16:00:00,0.5027088,0.4067663818,0.2460648148,1,v2,p_20250310,0.2460648148,BULLISH,2025_10
20250310,USDCNH,2025-03-10 17:00:00,0.6082777,0.5396367521,0.1110754986,0,v2,p_20250310,0.1110754986,BULLISH,2025_10
20250310,USDCNH,2025-03-10 18:00:00,0.6486104,0.8621082621,0.2921830484,1,v2,p_20250310,0.2921830484,BULLISH,2025_10
20250310,USDCNH,2025-03-10 19:00:00,0.50560015,0.4162749288,0.9393162393,1,v2,p_20250310,0.9393162393,BULLISH,2025_10
20250310,USDCNH,2025-03-10 20:00:00,0.41270265,0.309775641,0.9834757835,0,v2,p_20250310,0.309775641,BEARISH,2025_10
20250310,USDCNH,2025-03-10 22:00:00,0.5233424,0.2593839031,0.8303062678,1,v2,p_20250310,0.8303062678,BULLISH,2025_10
20250310,USDCNH,2025-03-10 23:00:00,0.48843282,0.3515669516,0.8236111111,0,v2,p_20250310,0.3515669516,BEARISH,2025_10
20250311,USDCNH,2025-03-11 00:00:00,0.5408984,0.1851317664,0.7667735043,1,v2,p_20250311,0.7667735043,BULLISH,2025_10
20250311,USDCNH,2025-03-11 10:00:00,0.39741662,0.2681445869,0.9629451567,0,v2,p_20250311,0.2681445869,BEARISH,2025_10
20250311,USDCNH,2025-03-11 11:00:00,0.4646035,0.4949074074,0.8666666667,0,v2,p_20250311,0.4949074074,BEARISH,2025_10
20250311,USDCNH,2025-03-11 12:00:00,0.5967235,0.3630698006,0.9146545584,1,v2,p_20250311,0.9146545584,BULLISH,2025_10
20250311,USDCNH,2025-03-11 13:00:00,0.39641646,0.2469017094,0.9308582621,0,v2,p_20250311,0.2469017094,BEARISH,2025_10
20250311,USDCNH,2025-03-11 14:00:00,0.52948457,0.5379095442,0.1551816239,0,v2,p_20250311,0.1551816239,BULLISH,2025_10
20250311,USDCNH,2025-03-11 15:00:00,0.55878234,0.6440705128,0.5821759259,1,v2,p_20250311,0.5821759259,BULLISH,2025_10
20250311,USDCNH,2025-03-11 16:00:00,0.53747797,0.591025641,0.8100071225,1,v2,p_20250311,0.8100071225,BULLISH,2025_10
20250311,USDCNH,2025-03-11 17:00:00,0.65782696,0.3362179487,0.9918269231,1,v2,p_20250311,0.9918269231,BULLISH,2025_10
20250311,USDCNH,2025-03-11 18:00:00,0.52513677,0.2072827635,0.9472934473,1,v2,p_20250311,0.9472934473,BULLISH,2025_10
20250311,USDCNH,2025-03-11 19:00:00,0.45570898,0.5683760684,0.0857905983,0,v2,p_20250311,0.5683760684,BEARISH,2025_10
20250311,USDCNH,2025-03-11 20:00:00,0.45317772,0.7248753561,0.0258547009,0,v2,p_20250311,0.7248753561,BEARISH,2025_10
20250311,USDCNH,2025-03-11 21:00:00,0.5727412,0.8329237892,0.4224180912,1,v2,p_20250311,0.4224180912,BULLISH,2025_10
20250311,USDCNH,2025-03-11 22:00:00,0.4816622,0.464298433,0.8842592593,0,v2,p_20250311,0.464298433,BEARISH,2025_10
20250311,USDCNH,2025-03-11 23:00:00,0.46368778,0.3206374644,0.946207265,0,v2,p_20250311,0.3206374644,BEARISH,2025_10
20250312,USDCNH,2025-03-12 00:00:00,0.32553968,0.2958333333,0.8823896011,0,v2,p_20250312,0.2958333333,BEARISH,2025_10
20250312,USDCNH,2025-03-12 10:00:00,0.40201372,0.8209223647,0.3345619658,0,v2,p_20250312,0.8209223647,BEARISH,2025_10
20250312,USDCNH,2025-03-12 11:00:00,0.6869484,0.2763888889,0.5635416667,1,v2,p_20250312,0.5635416667,BULLISH,2025_10
20250312,USDCNH,2025-03-12 12:00:00,0.5514662,0.2486111111,0.6017361111,1,v2,p_20250312,0.6017361111,BULLISH,2025_10
20250312,USDCNH,2025-03-12 13:00:00,0.46060297,0.7079861111,0.2135416667,0,v2,p_20250312,0.7079861111,BEARISH,2025_10
20250312,USDCNH,2025-03-12 14:00:00,0.4770778,0.9972222222,0.0607638889,0,v2,p_20250312,0.9972222222,BEARISH,2025_10
